Số báo danh; Toán; Văn; Lí; Hoá; Ngoại ngữ; Sử; Địa; Sinh; GDCD;
01000001;5.75;7.75;;7.75;;;;8.25;;;29.5
01000002;8;8.25;8.5;6.75;;;;;;;31.5
01000003;6.75;8.5;8.75;;;;;;;;24
01000004;5.25;7.5;6.5;5.5;;;;;;;24.75
01000005;;7;;;;5.5;6.25;;;;18.75
01000006;6.5;8.5;7.25;5;;;;;;;27.25
01000007;6.35;8;;6.25;;;;7.35;;;27.95
01000008;;6.25;;;;4;4;;;;14.25
01000009;7.5;8.5;7.75;6;;;;;;;29.75
01000010;;8.75;;;;8.25;9;;;;26
01000011;6.35;9;;6.75;;;;5.75;;;27.85
01000012;9;9.25;;7;;;;6.35;;;31.6
01000013;7;8.25;8;7.5;;;;;;;30.75
01000014;3.85;7.75;;5;;;;6;;;22.6
01000015;6.5;7.75;6.35;5;;;;;;;25.6
01000016;4.5;7;7;5.5;;;;;;;24
01000017;6;6.25;7.25;5;;;;;;;24.5
01000018;7.25;7.25;7.5;6;;;;;;;28
01000019;6.35;8;8.25;8.25;;;;;;;30.85
01000020;5;7.75;6.5;6;;;;;;;25.25
01000021;8.5;8.5;;8.75;;;;8.75;;;34.5
01000022;7.5;8.75;;7.75;;;;6.5;;;30.5
01000023;7.75;8;10;6;;;;;;;31.75
01000024;;7.25;;;;6.85;8.5;;;;22.6
01000025;7.25;8.25;;8.5;;;;6.75;;;30.75
01000026;5.25;8.25;;3.95;;;;3.75;;;21.2
01000027;8;7;9.75;9.25;;;;;;;34
01000028;5.25;7;;5.75;;;;6.75;;;24.75
01000029;7.1;6;7;7.2;;;;;;;27.3
01000030;6.75;6.5;7.25;6;;;;;;;26.5
01000031;6.75;7.75;;5.5;;;;7.1;;;27.1
01000032;8.25;8;;7.25;;;;7.5;;;31
01000033;6.25;8.75;5.75;;;;;;;;20.75
01000034;7.5;8.25;6.75;6.5;;;;;;;29
01000035;7.25;7.25;8.75;8;;;;;;;31.25
01000036;7.25;8.25;7.75;8;;;;;;;31.25
01000037;;9;;;;8.5;9.75;;;;27.25
01000038;4;8.75;;;;7.5;;;;;20.25
01000039;6.75;7;8.5;6.5;;;;;;;28.75
01000040;7;7;9.25;6.75;;;;;;;30
01000041;5.6;9;6.25;;;;;;;;20.85
01000042;6.1;7.25;8.5;3.85;;;;;;;25.7
01000043;8.5;7;8.25;8;;;;;;;31.75
01000044;6;6.25;6.75;6.75;;;;;;;25.75
01000045;5.35;8;7;5.5;;;;;;;25.85
01000046;;8.25;;;;8;9.75;;;;26
01000047;6.5;7.25;8;;;;;;;;21.75
01000048;9.5;8.75;;9.75;;;;8.5;;;36.5
01000049;7;8.5;8.75;9;;;;;;;33.25
01000050;7;7.75;;8.75;;;;8.5;;;32
01000051;7.5;8.5;6.1;5;;;;;;;27.1
01000052;7;9;9;7.5;;;;;;;32.5
01000053;;6.5;;;;7.85;9;;;;23.35
01000054;5.35;7.75;;4.85;;;;6;;;23.95
